Number;Start time in milliseconds;End time in milliseconds;"Text"
566;2928962;2930963;"She doesn't know
what she's saying."
567;2930997;2933499;"Lysa's head would be
on a spike right now"
568;2933533;2935701;"if the wrong people
had found that letter."
569;2935735;2938437;"Do you think she would
risk her life--"
570;2938471;2940105;"her son's life--"
571;2940139;2943609;"if she wasn't certain
her husband was murdered?"
572;2950752;2952652;"If this news is true"
573;2952686;2955689;"and the Lannisters
conspire against the throne,"
574;2955723;2959025;"who but you can
protect the King?"
575;2959060;2961261;"They murdered
the last Hand."
576;2961295;2963664;"Now you want Ned
to take the job?"
577;2963698;2965532;"The King rode
for a month"
578;2965567;2967601;"to ask for
Lord Stark's help."
579;2967635;2970270;"He's the only one
he trusts."
580;2971739;2974876;"You swore the King
an oath, my Lord."
581;2974910;2978011;"He's spent half his life
fighting Robert's wars."
582;2978046;2980547;"He owes him nothing."
583;2982383;2985485;"Your father and brother
rode south once"
584;2985519;2988387;"on a King's demand."
585;2990190;2992391;"A different time."
586;2993827;2995894;"A different King."
587;2999165;3001399;"( Drumming, clamoring )"
588;3022621;3024655;"( Hissing )"
589;3029761;3031895;"( Gasps )"
590;3048783;3051384;"<i>( Jeering calls,</i>
<i>drumming continues )</i>"
591;3056857;3058658;"When do I meet
with the Khal?"
592;3058693;3060560;"We need to begin
planning the invasion."
593;3060595;3063062;"If Khal Drogo has
promised you a crown,"
594;3063096;3065064;"- you shall have it.
- When?"
595;3065098;3067199;"When their omens
favor war."
596;3067233;3070502;"I piss on Dothraki omens."
597;3070537;3073773;"I've waited 17 years
to get my throne back."
598;3082951;3086120;"- <i>( Crowd ululating )</i>
- ( Grunting )"
599;3100535;3102837;"( Cheering )"
600;3113482;3115116;"<i>( Blades clang )</i>"
601;3124559;3125960;"( Screams )"
602;3133635;3135102;"A Dothraki wedding"
603;3135137;3138673;"without at least three deaths
is considered a dull affair."
604;3139942;3142310;"( Laughing )"
605;3151219;3153387;"<i>Jadi,</i>
<i>zhey jorah andahli!</i>"
606;3153422;3155289;"<i>Khal vezhven.</i>"
607;3161029;3164064;"A small gift,
for the new Khaleesi--"
608;3165300;3167602;"songs and histories
from the Seven Kingdoms."
609;3169304;3170704;"Thank you, Ser."
610;3172307;3175042;"Are you from my country?"
611;3175076;3177244;"Ser Jorah Mormont
of Bear Island."
612;3177279;3180013;"I served your father
for many years."
613;3180047;3183149;"Gods be good, I hope to always
serve the rightful King."
614;3206275;3208877;"Illyrio:
Dragon's eggs, Daenerys,"
615;3208912;3211881;"from the Shadow Lands
beyond Asshai."
616;3211915;3214950;"The ages have
turned them to stone,"
617;3214984;3217086;"but they will
always be beautiful."
618;3219223;3221525;"Thank you, Magister."
619;3289327;3291795;"She's beautiful."
620;3295867;3298235;"Ser Jorah,
I don't know how to say"
621;3298270;3300104;"thank you
in Dothraki."
622;3300139;3303074;"There is no word
for thank you in Dothraki."
623;3324162;3326163;"Make him happy."
624;3338610;3340911;"( Waves crashing )"
625;3385425;3387626;"- No.
- ( Sobs )"
626;3390663;3392831;"Do you know
the common tongue?"
627;3397270;3399304;"- <i>( Pin clanks )</i>
- No."
628;3403176;3405744;"Is "no" the only word
that you know?"
629;3406846;3408580;"<i>No.</i>"
630;3414120;3416288;"( Sobbing continues )"
631;3436876;3439110;"Rough night, imp?"
632;3439144;3441212;"If I get through this
without squirting"
633;3441247;3443648;"from one end or the other
it'll be a miracle."
634;3443682;3446050;"I didn't pick you
for a hunter."
635;3446084;3449186;"The greatest in the land--
my spear never misses."
636;3450388;3452957;"It's not hunting
if you pay for it."
637;3461099;3463367;"Are you as good
with a spear as you used to be?"
638;3463401;3465936;"No, but I'm still
better than you."
639;3465971;3467872;"( Laughs )"
640;3469007;3470874;"I know what I'm
putting you through."
641;3470909;3472910;"Thank you for saying yes."
642;3474345;3476780;"I only ask you
because I need you."
643;3477982;3479883;"You're a loyal friend."
644;3479918;3483220;"You hear me?
A <i>loyal friend.</i>"
645;3483255;3485055;"The last one I've got."
646;3486691;3488859;"- I hope I'll serve you well.
- You will."
647;3490394;3493330;"And I'll make sure you
don't look so fucking grim all the time."
648;3494598;3497034;"<i>Come on, boys,</i>
<i>let's go kill some boar!</i>"
649;3506978;3509146;"Come on, you."
650;3523696;3526065;"( Whines )"
651;3533940;3535607;"( Grunts )"
652;3539478;3541412;"( Soft barks )"
653;3547719;3550054;"<i>( Woman gasping )</i>"
654;3553692;3556327;"<i>( Moaning )</i>"
655;3565473;3568442;"( Grunting, moaning )"
656;3583457;3585991;"( Gasps )
Stop!"
657;3586026;3587893;"- Stop.
- ( Gasps )"
658;3592699;3594968;"Are you completely mad?"
659;3595002;3597904;"- He saw us.
- It's all right, it's all right."
660;3597938;3599806;"- It's all right.
- He saw us!"
661;3599840;3602109;"I heard you
the first time."
662;3603178;3604879;"( Whimpers )"
663;3606081;3608516;"Quite the little climber,
aren't you?"
664;3609652;3612587;"- How old are you, boy?
- 10."
665;3612621;3614321;"10."
666;3623030;3625532;"The things
I do for love."
667;3632206;3634874;"<i>( Theme music playing )</i>"
668;3634899;3638899;"== sync, corrected by <font color="#00ff00">elderman</font> =="
9999;500;2000;"<font color="#ffff00" size=14>www.tvsubtitles.net</font>"
